ID,IncHomeS,Age,Income,Educ,Ownershp,Sqft4cat,Attitude,SubN,PBC,EnvironmentC,CostC,ComfortS,HabitHC
206,4,27,6,2,1,3,6.75,3,4,5,5,6.666666667,4.75
604,1,27,1,2,0,1,7,1,7,7,4,5.666666667,6.25
626,3,24,5,2,0,1,5.75,6,5,5.5,5.5,3.333333333,4.75
663,2,27,4,3,0,2,6.25,3,6,4.75,4.5,3.333333333,5
812,4,43,7,6,1,4,7,4.5,4,6.25,6,6.666666667,3.25
100,5,42,6,4,1,3,6.25,4,6,4.75,7,6.333333333,5
111,4,50,5,2,1,3,7,3,5,5,3.5,5,3.25
185,4,47,5,5,1,4,6,4,6,5.75,6.5,6.333333333,4.25
210,4,23,5,4,0,3,6.5,6,6,5,7,5.333333333,5.75
327,4,34,5,5,1,1,5.5,5,4.5,5,5.5,4,5.75
400,3,41,9,4,0,4,7,4,6,1,6.5,6,3.75
15,4,29,5,5,0,2,5,2,5,4,6,6,4.5
351,3,22,1,2,0,3,7,5.5,6,5,5,5.666666667,6
567,3,44,3,4,0,1,4.5,3.5,5,5,5,6.333333333,4.25
744,3,36,5,3,1,4,6.75,5.5,7,6,6,4.666666667,6.75
170,4,22,5,3,0,2,7,3,6,6,7,4.666666667,6.25
260,4,30,6,4,1,3,5,2.5,5.5,3.5,5,6,5.25
472,8,23,10,2,0,3,3.5,3,4,3.75,2.5,7,4.75
513,5,48,8,5,1,4,5.75,4,6,6,5,6.333333333,5
532,6,28,5,2,1,2,3.5,1,2,5.25,2,7,3.5
674,5,26,5,4,1,2,6,3.5,6,6,5,6,5.75
4,4,42,4,3,1,2,6,4.5,6,4.75,5.5,4.666666667,5
73,4,29,6,4,1,3,7,7,5.5,7,7,5.333333333,7
78,3,55,7,4,1,4,6.25,6,6,4.5,4.5,4.333333333,7
154,1,60,6,2,1,3,7,4.5,6,6,6,3.666666667,6.5
240,6,57,6,5,0,2,6.5,5,5.5,6.25,6.5,6,5.5
247,6,41,8,4,0,3,7,5,2,6,7,7,5.5
695,2,26,4,4,0,2,6,3,6,4.25,6,6.666666667,5.75
825,4,46,6,3,1,2,6,5.5,5,6,6.5,7,4.5
892,3,42,8,4,1,4,6.25,6,6,6.5,6,4,5.5
71,3,24,6,4,0,3,5.5,4.5,6,2,6,5,7
97,3,25,3,5,0,1,6,5,6,4.5,6,5.333333333,4.75
107,1,29,3,2,0,1,6.5,3.5,5,5,7,4.333333333,5.75
202,5,25,7,2,1,3,4.25,1,4,2,4.5,6,3.75
208,4,26,5,3,0,1,7,4,7,7,7,5.333333333,4.75
329,4,33,5,5,1,2,6,4,7,5.5,6.5,3,3.75
460,4,36,6,3,1,4,6,5,5.5,6,6,5.333333333,5
821,3,26,5,4,0,2,6.25,6,4.5,5.75,7,6,5
62,6,26,6,3,1,3,6.25,5,6,3,6,5,4.75
21,6,54,3,5,0,4,6.75,5,4.5,5.5,5.5,4.666666667,6.75
37,5,49,9,4,0,2,6.5,4.5,6.5,5.25,5.5,5.666666667,6
491,4,35,5,2,0,1,5.5,4.5,5,5,5,4.333333333,5.75
531,1,30,1,4,0,1,4.75,4,6,3,6,5.333333333,5.25
582,4,49,5,5,0,2,6,3,5.5,4.75,6,6.333333333,5.25
588,1,55,5,4,1,2,7,5,7,5.75,7,5,6.5
128,4,36,7,2,1,4,4.5,4,6,1,5,3,4
103,3,47,8,4,1,4,7,4.5,5,4.75,5.5,3.666666667,6.5
221,4,30,8,5,0,1,5.25,6,6,1,6.5,3.666666667,6
256,4,27,4,5,0,1,5.75,4,6,5.5,6,3.333333333,5.25
547,2,30,4,5,1,3,7,5.5,5,1,7,6,1
335,5,53,4,5,1,3,5.25,4.5,5,5.75,6.5,6,5.75
516,5,29,5,5,0,3,5.5,4,5,5.25,7,6,3.75
686,3,38,6,3,1,4,6.75,3,5,5,5,5.333333333,4.5
848,4,29,6,5,0,2,6.75,3.5,6,6,6,4,4.75
40,3,36,7,5,1,4,6.5,2,6,6,4.5,6,3.5
254,1,27,3,3,0,2,6.5,3.5,6.5,5.5,6.5,4.333333333,5.5
344,6,25,5,2,0,4,6,4,4,4,6,4.333333333,4.25
32,4,37,10,5,1,4,7,4,5,7,6,7,6.25
86,4,27,5,3,0,1,7,6,4,5.25,5,7,4
859,4,21,4,3,0,2,7,6.5,7,6.25,6,6,4.5
45,6,32,1,6,0,1,6.5,5,5,6.25,4.5,5.333333333,5
101,3,22,4,4,0,2,4.75,2,5.5,4.25,4.5,6,4.75
160,4,58,4,5,1,3,5.75,4.5,5.5,5,5,4.333333333,6
25,7,51,7,4,1,4,7,5,6,5.75,5.5,5.333333333,5
98,1,29,8,4,1,3,6.5,5,7,5,6.5,6,6.75
248,4,41,8,2,1,3,6,5,7,5.25,6.5,6,6.25
284,7,39,8,5,1,4,4.75,4,6,3.25,5.5,6.333333333,4.5
445,4,32,8,4,1,4,6,6,5,5,5.5,6.333333333,4
537,3,34,6,4,1,3,6,4,5.5,4.75,5.5,6.333333333,4.5
633,3,33,7,4,1,3,6.5,4,3.5,1.5,5.5,5,2.5
635,4,67,8,3,1,4,5.5,3,5.5,4.75,5,5.333333333,4.25
644,6,27,6,4,0,3,6,5,6,6,6,6,4.75
840,4,46,8,6,0,4,5.75,6,5.5,5.75,6.5,3.666666667,4
276,4,30,5,4,1,2,7,5.5,2,6.75,6.5,5,5
288,3,33,5,2,1,2,4.75,2.5,3,4,4,5.333333333,4
415,5,24,4,2,0,2,6.75,6,5,6.5,6,5.333333333,4.25
623,4,30,5,2,1,2,6.75,5,7,4.5,6,6,4.75
44,5,22,6,4,0,1,6.25,3.5,6,4.5,5.5,5.333333333,5.75
255,5,58,7,6,0,2,7,4,6.5,7,7,7,6.25
484,4,56,6,5,1,3,6.5,7,6,6,5.5,6.333333333,5.25
876,8,18,3,1,1,1,3.5,1,3.5,3.5,2.5,6.666666667,1.25
20,6,53,4,2,1,3,6,1.5,7,5,6.5,5.333333333,4.25
259,6,64,3,3,0,1,2.25,2,5,1.5,5,6,6
291,4,45,8,3,1,4,7,4,5,4,4,4,4
398,1,30,4,4,0,1,6.75,4,6,5.5,5,1.666666667,7
432,7,31,5,2,1,2,6,4,7,4,5.5,6,6.5
486,7,61,5,4,1,4,5,3,4,3.75,5.5,4.333333333,6
584,8,34,6,5,1,3,6,4,5,6,5,3,4.25
849,3,26,6,3,0,3,7,5.5,6,7,6.5,4,4.75
88,4,45,7,4,1,4,5.25,4,6.5,5.25,5.5,5.333333333,4.75
134,6,38,6,2,1,1,6.5,5.5,6,4.5,6.5,4.666666667,6.5
331,4,48,6,4,1,4,7,6,6,5.5,6,5.666666667,5
357,4,29,4,4,0,1,4,4,4,4,6,6.666666667,4
542,4,30,6,4,0,1,6.5,5,6,4.5,5.5,5.333333333,5
552,6,30,3,5,0,2,7,2.5,6,5.75,7,6,5.5
793,4,19,8,2,0,4,4,3.5,6,5.25,4.5,4,3.5
815,4,36,6,5,1,3,6.5,5.5,7,2.25,7,3.333333333,4.5
874,6,42,4,3,1,3,7,5,7,4,6.5,7,7
898,8,72,5,3,1,3,5.75,2,4,3.5,5,6,5.25
22,1,43,7,5,1,4,7,6,7,4.5,6,5.666666667,6.5
85,6,49,6,2,0,3,3,3,5.5,4.25,5.5,6.666666667,5
17,6,51,5,3,0,1,6,5,6,4.25,5,5,4.5
375,4,29,5,2,0,2,4,1,5,2.5,4,5,3.25
822,7,29,4,3,0,1,5.25,2.5,6,4.25,3.5,7,2.75
360,4,35,6,4,1,2,6.25,6.5,5,5.5,6.5,5.333333333,3.5
710,4,25,7,4,1,4,4.75,5.5,4.5,2.25,6.5,6,6.25
789,6,39,5,1,1,3,6.5,1.5,7,3.75,5.5,6.666666667,5.5
575,6,48,1,2,1,3,7,2.5,6,5.25,5,6,4
33,4,53,6,2,1,3,4.25,3,5,4.5,4.5,4.333333333,2
338,3,38,7,4,1,4,7,2,3,4.75,6,5.333333333,3.75
480,4,25,6,4,1,3,5.75,4,6,5,5,3.666666667,5
496,4,59,5,3,1,4,6,5,5,4.5,5.5,6,3.75
692,5,44,7,2,1,4,7,5.5,6,7,7,6,5.25
883,4,49,7,2,1,4,6.5,7,7,6,7,7,6.5
28,3,33,4,2,0,4,7,5.5,5,4.5,7,7,3
191,5,25,4,2,0,2,7,4,6,5,3,4.666666667,4.25
219,4,32,3,3,0,3,7,4,5,5,5.5,2,4.75
228,4,32,8,6,1,3,7,5,6,6.5,5.5,2,5.25
346,8,58,8,4,1,3,7,4,6,5.5,4.5,7,5.25
348,7,28,7,4,1,3,4.75,1,3.5,4,5,4.666666667,1
358,3,45,10,4,1,4,7,5.5,7,4.75,5,3.666666667,3.5
372,4,28,5,2,1,4,5.5,5,3,5,4.5,6.333333333,3
454,3,30,4,5,0,4,7,4,6.5,6,6.5,5,5.25
495,1,39,5,4,0,3,7,7,6,7,6.5,4,6.333333333
515,7,30,5,3,0,2,7,4,1.5,3.75,6.5,5,7
548,4,38,4,2,1,4,6,4.5,5.5,5.75,5.5,6.666666667,3.5
554,4,41,3,2,0,2,6,5,7,2.75,6.5,6,5.5
565,4,19,1,2,0,1,7,7,7,7,7,7,7
574,4,50,4,3,0,3,7,7,6,6.25,6,6,7
587,8,43,7,5,0,1,6,5,5,7,4,1,5.25
612,4,54,7,3,1,3,5.5,3,4.5,4.25,5.5,6,4.75
652,3,31,8,3,1,4,5,3.5,6,5.5,4.5,4.333333333,6.5
857,2,45,8,2,1,4,7,7,7,1,6.5,7,4
868,4,31,5,4,0,2,7,5,6,6,6.5,5.333333333,5.5
916,5,31,1,5,0,2,6.5,6,7,5.75,5.5,5,5.25
441,3,30,3,3,0,1,5,3,6,3.5,6,4.666666667,4.5
268,7,23,7,3,1,4,7,4,4,5,6,7,4.75
265,4,29,8,4,0,2,6.25,5.5,6,5.25,6,6.666666667,5.25
281,2,59,6,2,1,3,7,3,6,6,7,7,4.666666667
319,1,28,3,4,0,2,7,6,7,2.75,6,6,6
424,6,44,6,3,1,4,7,4,5,5,5.5,6,6.25
373,3,36,5,3,1,3,3.5,5.5,5.5,6,5.5,6,6.25
258,7,29,1,3,0,1,6,5,4.5,5.25,5,6,4.5
310,4,46,3,3,1,1,6.25,5.5,6,5.5,6.5,5.666666667,5.75
368,5,26,5,6,1,3,5.25,3.5,5.5,4.75,5.5,5.666666667,4.75
729,4,32,5,6,0,2,7,3.5,4,6.75,6,2.333333333,5.5
658,2,19,3,3,0,2,3.75,4,4,2.5,5,1,6
811,2,23,3,2,0,4,7,7,7,6.25,6.5,6.333333333,5
769,4,23,1,4,0,1,6,4.5,6,6,5,5.333333333,5.5
678,4,50,4,2,1,3,6,6,6,5.75,6,4,6.25
162,4,31,8,4,1,1,7,1,7,1,6.5,1.333333333,4.5
61,5,26,4,4,0,2,6.75,4.5,7,5.5,6.5,4,6.25
558,4,46,7,4,1,2,7,6,7,6,4,6,7
905,4,32,5,4,0,1,6.25,5.5,6,5.75,5,6,5.75
264,4,33,8,6,1,3,4.75,6,5,3.5,6,7,5
667,4,18,7,2,1,1,3,4.5,6,2,5.5,2.666666667,3
222,4,28,3,5,0,2,7,5.5,7,7,6.5,4,6.25
408,4,24,5,4,0,1,7,5.5,5,6,7,4,4.75
181,3,44,6,5,1,3,5,6,6,2.75,5.5,6,5.25
555,4,57,6,5,1,4,5.75,5,6,2.5,6.5,4.666666667,6
669,2,27,8,4,0,2,5,4,5,5.25,4,6,4.75
106,8,39,6,5,1,4,5.5,2.5,6,3.25,6.5,6,5.75
261,2,27,8,5,0,2,7,4.5,7,6.75,7,2.666666667,5.5
550,1,37,7,5,1,4,7,2,3.5,6.5,6.5,2.333333333,6.75
118,3,27,3,4,1,3,7,4,6,5.5,7,3.666666667,6.75
122,2,56,5,2,1,2,7,7,7,7,7,5.666666667,7
164,1,45,4,2,1,2,5,4,5,6,5,5,7
250,3,39,4,4,1,4,6,5,5.5,4.75,6,4.666666667,4.5
266,3,27,8,4,1,4,5.5,2,5,4,5.5,4,5.5
277,5,34,5,5,1,1,7,6,6,6.75,7,5,6
309,5,41,5,4,1,4,7,5,6,5.75,5,4.333333333,5.5
393,4,48,7,4,1,4,7,2,6,7,7,6,7
447,4,23,6,3,0,4,4.5,5.5,6.5,4.75,4.5,5.666666667,5.75
477,8,29,4,2,0,2,7,3.5,6,3.75,7,5.333333333,6.5
616,4,36,9,4,1,3,7,6.5,5.5,5.75,7,2,6.5
673,8,60,10,5,1,4,6,3.5,6,4.5,3.5,7,6.75
688,4,29,6,3,1,3,5.5,5.5,5,5.75,6,3.333333333,5.75
694,1,24,4,4,0,4,6,2,6.5,5,7,4.333333333,5.75
752,3,26,3,4,0,3,6,6.5,7,5,5,4,4.75
819,5,27,5,5,0,1,4,6,4.5,4,4.5,6.333333333,6.5
836,4,58,3,3,0,1,7,6,7,7,1,7,5.5
271,3,55,6,4,1,4,5,4,4,5,6,4.333333333,5.75
305,2,22,5,4,0,1,6,5,6,6.25,6,4.666666667,7
339,1,59,8,4,1,3,7,5.5,7,3.5,7,1.666666667,6.5
499,4,50,3,4,1,3,7,4.5,6,7,6,3.666666667,6.25
543,3,32,7,5,1,4,6,4.5,6,3,4.5,6.666666667,5.25
602,6,50,5,6,1,3,6.5,5.5,6.5,6.25,5.5,7,6.5
648,5,50,7,2,1,4,7,6,7,7,7,6.666666667,7
660,4,39,5,4,1,1,7,6,7,5.75,7,3.666666667,7
720,1,29,4,3,1,2,7,2,7,7,7,1,7
448,6,37,6,4,1,3,5,2,4.5,4,5.5,5.666666667,5.25
785,3,38,5,3,0,4,6,6,5.5,5.5,5.5,5.333333333,5.25
568,4,32,4,3,0,1,5.75,5,5,4.5,6,4,5.5
535,2,52,8,4,1,3,7,4,6,4.75,5.5,6.666666667,4.75
735,8,45,7,4,1,4,5.25,3,4,3.5,5,5.666666667,5.75
19,2,35,9,4,1,3,5.5,5,3,5.5,4,4,5.5
217,5,32,5,4,1,3,7,3.5,7,5,5.5,7,3.5
55,6,55,3,3,1,2,7,3.5,7,6.75,7,6.666666667,5.75
223,7,32,5,2,1,4,6,5,5,4.75,4.5,5.666666667,6.25
241,1,27,3,3,0,3,5,3.5,7,2,6.5,7,5.75
282,3,27,3,5,0,2,7,2.5,5,6,5.5,4.333333333,5.5
803,7,50,7,4,1,4,4.5,5,7,1.5,7,5,6.75
14,4,58,9,6,1,4,7,4.5,5.5,7,7,7,4.75
126,2,26,6,5,1,3,7,4,5,5.5,7,5.333333333,7
481,7,36,5,5,0,1,7,4,6,5.75,5.5,5,5.75
522,4,29,6,4,1,4,6.75,4.5,5,4,6.5,5,5.75
586,1,49,5,4,0,2,6,5,5,6,6,2,6.25
632,4,32,5,4,1,2,5,2,5,4.75,5.5,3,6
683,4,21,1,4,1,2,6,7,7,6.75,5.5,6.666666667,5
698,4,37,7,5,0,3,7,4,4,5,6,5,6
814,4,45,7,4,1,4,7,4,6,6.25,5.5,7,6
912,3,51,6,2,0,4,7,5.5,6,6.25,7,7,5.5
109,8,51,8,4,1,4,7,4.5,6,7,7,4.666666667,5.75
116,2,41,9,3,1,4,7,5,6,7,7,1.666666667,5
287,5,37,6,5,0,3,7,4,6.5,6.5,7,6.333333333,4.5
622,2,45,7,5,1,3,7,4,4,4,4,4,4.75
733,7,35,5,5,1,1,1.5,1,5,4,3,7,6.5
891,7,36,6,2,1,3,6,5,4,3.25,6.5,5.666666667,6
168,3,36,3,4,1,2,7,4.5,7,4.75,7,5.666666667,5.25
747,3,20,3,3,0,4,7,4,6,6.75,6,3.666666667,5.25
643,4,34,8,2,1,3,4.5,5,3,3.5,5,6.333333333,4
601,7,35,6,2,1,4,7,6,7,3.25,6,6.333333333,4
436,6,45,7,4,1,4,7,7,6,1,6,6,6
902,4,26,4,3,1,4,5,4.5,3,3.75,6,6.666666667,5.75
57,2,49,8,5,1,4,5.5,3,5,4.5,6.5,4.666666667,5.5
75,3,40,7,5,1,2,5,3,6,5.25,5,3,4.25
79,3,28,5,4,1,1,5.5,5.5,3.5,5,6,5,3.5
337,4,29,6,3,1,4,5.75,4,6,5.25,6,7,4.5
371,2,31,5,3,0,2,6,4,7,4.75,5,6,6.75
464,5,22,1,3,1,4,7,4.5,5,6,4,7,5.5
680,3,24,3,4,0,1,6.25,4.5,4.5,5.25,5,4,5.25
802,5,25,6,4,1,3,5.25,5.5,5.5,5,3,6,4.5
897,4,56,8,4,1,4,6.5,4.5,5,5,5,3,4
166,4,38,4,3,0,3,7,6,7,4.5,6,6.666666667,7
359,5,33,5,4,1,4,5.25,4.5,5,5.75,5.5,4,5.25
709,4,41,5,5,1,2,6,1,3,4.5,4,3.333333333,5
723,3,41,7,4,1,3,7,3,6,5.25,5,6,7
275,2,28,4,2,0,3,6.5,4,5,5,4.5,4.666666667,6
117,4,55,9,4,1,4,6,4,5.5,3,5,5.666666667,5.5
235,4,33,6,2,0,2,6.25,4,5,5,4,6.666666667,5.25
322,3,23,10,2,0,1,6.25,4,5,5.25,4,5,6.25
323,4,30,6,3,1,2,6.75,4,7,5,5,7,7
330,3,48,4,2,1,3,5.5,4.5,6,2.75,5.5,4.666666667,5
395,3,36,5,2,1,3,7,3,7,4,5,6,1.75
421,8,26,1,2,0,2,6.5,4.5,4.5,5.5,4,4.333333333,5.5
514,4,43,5,4,0,3,7,4,6.5,5.25,5.5,4.333333333,4.75
712,3,26,6,4,1,3,6,4,6.5,4.25,7,5.666666667,5.25
713,6,32,6,4,1,4,3.75,5,5,1.75,6,3,6
753,6,39,1,3,0,1,5.75,3.5,6,4.5,6,5.333333333,5
895,5,27,3,3,0,1,7,6.5,7,7,6.5,6.333333333,5.25
