ID,IncHomeS,Age,Income,Educ,Ownershp,Sqft4cat,Attitude,SubN,PBC,EnvironmentC,CostC,ComfortS,HabitHC
727,6,29,6,3,0,2,7,6,7,6,6,4.666666667,6.5
374,4,59,8,4,1,2,6,2.5,5,5.75,4,5.666666667,4.666666667
795,6,64,7,4,1,3,7,6,6,3.5,5,6,4.5
136,5,34,6,2,0,3,6,2.5,6,5.75,4,6,3.5
459,8,22,1,3,0,1,6.25,2,6.5,4,6,7,4.25
529,2,43,3,2,0,1,6,3,6,4.5,5,4.666666667,6.333333333
340,1,23,6,2,1,4,7,3.5,7,5.5,5,2.666666667,4.5
657,4,50,6,4,0,1,7,4.5,3,5,5.5,4.333333333,4
772,4,23,1,4,0,1,7,6,6,5,5.5,4.333333333,4.25
23,5,33,3,5,0,1,7,3.5,5.5,5.5,7,2.333333333,4.5
306,2,38,3,3,1,1,7,5,6.5,5.5,7,5,4
243,2,20,3,2,0,3,6,2,7,3.5,6,7,4.75
864,3,33,5,2,0,2,7,5,7,6.25,6.5,7,4.5
734,4,36,8,3,1,4,6,4,5.5,5.75,5.5,4.666666667,4.5
153,2,36,8,4,0,4,6,6.5,7,5.75,5.5,4.333333333,6.25
39,4,32,3,2,0,1,4.75,2.5,5.5,2.75,5,5,6.25
52,1,28,3,2,0,1,7,6,6,6.25,6,3.666666667,5
80,4,31,7,4,1,2,5.5,4,4,5.5,6,5.666666667,5.5
87,3,31,5,5,0,2,5,2,4.5,4.75,5,5.333333333,2.5
157,3,40,6,4,1,3,7,5.5,7,6,5,6,3.25
215,3,19,3,3,0,3,5.25,5,6,4,5,4.666666667,5.5
353,3,35,7,2,0,4,3,2,5,2.5,3.5,4.666666667,5.75
356,2,51,4,3,1,3,6,4.5,6.5,4.75,6,5,7
430,3,25,3,2,0,4,7,7,7,5.5,7,1,7
439,1,23,4,4,0,1,6.75,5,4,6.5,5.5,1.666666667,7
487,2,48,8,4,1,4,7,3,4,6,5,4,5
654,3,20,1,2,0,4,6,3,5,5.75,3,2.333333333,3.75
670,3,29,7,3,1,2,7,2.5,7,6.5,7,6.333333333,6
855,7,31,4,2,0,1,7,1,2.5,5,5,7,4.75
896,4,30,7,4,1,1,4,3.5,7,1.5,7,6,5.75
900,1,39,7,4,1,4,7,5,7,5.25,7,3,5.75
901,5,26,7,4,1,1,1,2,5,1.75,4,7,5.25
92,2,43,5,2,1,4,7,3.5,6,5,5,5.333333333,3.75
316,4,67,5,3,1,3,7,5,7,6,7,7,5
630,3,25,5,5,0,2,7,4.5,7,6.25,5.5,5.666666667,5
369,4,44,6,3,0,3,4.75,4,5,2.25,6,2.666666667,7
697,3,29,7,3,0,2,6.75,3.5,5.5,6,6.5,6.666666667,6.5
885,1,30,6,4,0,1,7,4,7,5,7,2,7
506,4,29,7,3,0,2,6.25,5,6,6.5,6.5,6.666666667,6.5
838,4,40,9,5,1,4,7,3.5,5,7,5.5,6.333333333,5
738,3,25,6,4,0,2,5.25,1.5,4,4.5,5,4.666666667,3.75
13,7,25,3,2,1,1,6.5,4.5,5,5.5,5,5.666666667,5.75
63,4,33,7,4,1,4,5,3.5,3.5,3.25,2.5,3,6.25
84,4,41,5,4,1,2,5.5,5.5,5,4.5,6,3.666666667,5.75
203,8,58,8,4,1,4,7,4,7,5,5,7,5
312,7,53,5,6,1,2,7,6,7,7,6.5,6,7
328,1,61,4,4,0,2,7,6,5,7,6,2,6.5
354,2,21,1,4,0,1,5,5,5,4.25,5.5,4.333333333,6.5
711,7,43,1,2,0,1,7,4,5,6.5,7,6,3.25
183,3,48,5,4,1,4,5.5,5,6,3.75,5,2,6.5
196,4,37,8,2,1,4,3.75,5,6,4.5,7,7,4
433,7,59,4,2,1,3,7,2,7,6.5,6.5,7,5.5
510,4,20,8,2,1,2,5.25,3,6.5,3.25,2.5,2.666666667,5
563,2,32,5,5,0,3,7,4.5,6.5,5,6,6.666666667,4.5
743,6,45,6,4,1,3,6,4,6,6.25,6,2.666666667,6.5
806,3,34,6,3,1,2,7,3,4.5,5.25,6,7,4.75
867,4,21,3,2,0,2,6,5,6,6,4.5,6,4.25
882,5,45,6,5,1,3,6.75,4.5,5.5,6,6.5,5,5.25
915,4,19,6,2,0,2,4,7,7,7,7,7,4.75
138,4,34,5,4,0,3,3,3,6,3,5,7,4.5
140,8,21,1,2,0,1,7,5.5,7,6.75,7,5,4.75
159,5,27,6,4,1,4,3.5,2,5,3.25,5.5,4.666666667,3.25
523,4,26,8,3,1,4,7,5,5,5,5,5.333333333,5.5
132,4,28,7,4,1,2,7,5.5,6,6.25,6,4.333333333,5
146,3,48,3,1,1,2,5.5,5.5,5.5,4.75,5.5,5.666666667,6.25
152,3,40,6,4,1,2,4,4,5,4,6,5.666666667,3.5
172,4,22,3,2,1,4,6.5,1,4,7,4,4,4.25
229,4,39,6,4,1,2,6.5,6,6,4.5,6.5,7,4.5
387,7,31,4,4,0,3,7,6,6,6,5.5,5,5.75
591,5,44,6,4,1,3,6,4,5,6,5.5,7,5
161,4,30,8,4,0,3,6.5,5,6,4.5,6,7,5.25
224,6,38,9,4,1,4,6,4,6,4.5,5.5,6.666666667,3.5
355,1,36,8,4,1,2,7,3.5,6,5.75,7,1,6.5
410,4,32,6,4,1,3,7,2,2,4.5,6,3,4.25
799,5,52,8,6,1,4,6,3,6,6,5,5,5.25
5,8,39,7,2,1,4,6.25,4,6,5.75,6,5,5.25
83,3,31,6,4,0,1,7,4,4,6.25,5,5.666666667,6
47,3,29,6,4,1,3,7,3.5,7,6,6.5,3,4
279,3,24,3,4,0,1,6.5,4.5,7,5.75,5,3.333333333,5.5
476,6,28,4,3,0,2,3.75,4,6,6,6,6,2.75
520,4,40,6,5,0,1,7,4,4,6,6,7,5.25
524,3,22,4,4,1,2,6,4,6,5.25,5.5,4,3.25
589,4,28,5,2,0,3,7,6,4,5.75,5.5,7,4
629,3,32,7,4,0,2,7,4,5,7,6,4.333333333,5.25
668,4,24,8,2,1,4,5.75,4.5,6,4.5,6,5,4
875,7,43,7,4,1,4,5,4.5,5,4,3,4.666666667,5.5
77,7,30,6,2,0,3,3,1,4.5,3.25,5.5,7,3.5
82,6,27,7,4,1,4,7,4.5,6,7,5,6.333333333,4.75
189,4,27,6,2,0,2,6.75,5.5,6.5,6.5,7,4.333333333,5.75
197,8,57,7,2,1,3,5.25,1,3.5,3.25,4,6.333333333,2.75
334,3,37,3,2,0,4,2.25,4,5.5,1.5,2,5.666666667,3.75
397,3,21,5,3,0,1,7,7,7,6,4.5,4.333333333,3.5
509,4,28,7,4,0,3,4,5.5,5,4.75,4,5.333333333,3.5
605,8,38,1,1,0,4,6,4,4,3.75,5,6.333333333,6.25
687,8,30,8,4,1,1,6.25,5,3.5,4.75,5,6.666666667,4.75
718,1,34,8,3,1,4,6,2,5,3.75,4.5,6,4.75
820,2,40,8,5,1,3,5.75,5.5,5.5,5.75,5.5,6,3.75
851,4,20,3,3,0,1,7,3.5,7,7,7,2,1.5
853,1,37,4,2,1,2,6.5,3,5,6.25,4,6.333333333,2.25
49,4,24,4,2,0,3,7,7,7,7,7,4,5
383,1,18,4,2,1,4,4.75,1,4,4,3.5,7,2.75
533,4,31,4,3,0,2,7,4,5.5,6,6.5,6,4.75
786,1,25,6,4,1,4,4.75,4.5,4.5,3.25,4.5,4,5.5
91,4,26,7,2,0,2,7,4.5,6,5.75,6,6,5.5
473,4,28,6,3,1,2,6,4,6,6,5,4.333333333,6.25
824,2,18,8,1,1,4,4,2.5,5.5,3.5,4,6,3.25
143,8,28,5,4,1,3,2.25,2.5,3,2.25,1.5,7,2.5
205,5,25,3,5,0,1,6,5,3.5,5,6,6,6.25
207,7,42,1,3,0,2,7,3,7,7,7,6,4.5
218,1,31,5,3,1,2,6,5.5,6,5.25,4,6,5.25
226,7,18,8,1,1,2,4.25,5,3,3.5,5,5.666666667,5
456,4,26,6,3,0,1,6.5,4.5,4.5,5,6.5,1.666666667,5.5
465,7,25,1,3,0,2,4,6,7,1,1,4,1
478,3,31,7,5,1,4,6.25,2.5,6,4.75,6.5,3.333333333,5.25
580,8,29,3,2,0,1,7,4.5,7,4.5,7,6.333333333,4
594,1,28,3,2,0,1,4.75,1.5,5,3.5,5,5.333333333,3.25
653,4,34,6,4,1,4,5.5,5,6,3.75,5,4,4.5
675,4,27,3,2,0,1,1,1,7,2.75,6,6.333333333,4
689,5,22,4,4,0,2,4.5,5.5,6,4.25,5.5,7,4
755,1,38,3,3,0,1,6,4.5,7,4.25,6.5,2.666666667,6.5
776,1,22,1,2,0,1,7,4,5,7,4,6.666666667,4.25
850,2,37,8,2,0,4,6,1,7,4,5,5,5.5
909,3,47,7,4,1,3,7,4,5,6,5.5,5.666666667,5.25
913,5,28,6,4,1,2,6.25,4.5,5.5,4.5,6,1.666666667,5.333333333
920,3,30,3,2,0,3,5,5,5,4,6,7,5.75
8,2,24,6,3,0,2,7,4,7,6.5,5.5,6,5.25
192,3,60,5,4,1,2,6,4.5,5,5.75,5,4,5.5
377,3,29,5,2,0,2,4,3.5,4,4,4,4,4
621,4,27,5,2,1,1,7,2,4,4,5.5,5.333333333,3.75
768,4,22,5,4,1,4,7,5,6,7,7,4,7
728,4,37,8,4,1,3,7,4.5,5,6,6,3,4.25
115,6,43,6,4,1,3,7,7,6,7,7,6,6.5
169,3,35,5,5,0,1,7,1,7,7,7,5.666666667,5.25
272,4,21,3,3,0,1,5.25,1,5.5,3,6,7,4
452,4,32,5,3,0,2,5,2,7,1.5,4,6.666666667,4
546,3,33,6,4,1,1,7,5,7,5.75,5.5,5.333333333,3
549,4,58,6,4,0,1,7,2,6,4.25,4,5.333333333,3.5
561,5,25,8,2,0,2,7,4,7,7,7,6,5.25
756,5,50,9,5,1,4,7,6,5,6,5,5.666666667,5.25
828,5,47,1,3,1,3,5.5,5,4,5,5,6,4.666666667
105,3,19,6,3,0,1,7,3.5,7,6.25,4,7,1.75
304,3,30,3,2,0,1,7,1.5,7,3.25,3,4.666666667,2.75
367,2,24,8,5,1,2,7,6,6,6,6.5,5.666666667,5.75
423,6,20,5,2,0,1,6,3.5,2.5,4.25,5,2,1.75
500,4,31,5,5,0,1,6,6,6,5.5,5.5,7,2
731,2,33,4,3,0,1,6,4,6,3.25,5.5,2,3.5
903,6,25,8,4,1,4,6.25,5.5,5.5,6.5,5.5,7,4.25
10,8,42,8,4,1,4,5,3,5,6,5,7,2.75
142,3,25,3,4,1,3,6.5,5.5,5,5.5,4.5,5.333333333,5.25
404,3,46,4,3,0,2,6,5,5.5,6.5,5,5.333333333,4.5
462,8,29,6,2,1,4,5,2.5,6,4.25,4,7,2
466,3,21,5,3,1,3,7,4.5,7,6,6.5,5.333333333,6
483,4,32,6,2,0,4,5,4,6,4.25,5.5,5,5.75
521,7,63,4,4,1,3,6.25,4,2.5,4.75,5.5,4.333333333,2.75
534,4,29,6,4,0,2,7,5,6,5.5,6.5,6.333333333,6
631,4,37,8,4,1,4,4.25,1,7,3.5,5.5,6.333333333,4
677,6,41,6,2,0,3,2.75,3,3.5,1,1,4,1
721,3,25,6,4,0,2,4.75,3,6,4.25,5.5,7,4.25
846,1,22,5,2,1,1,7,4,5.5,7,7,3,4.75
56,5,32,5,4,0,2,7,2.5,5,6.25,6,3.333333333,3
283,3,34,5,4,0,1,6.25,4,6,5.5,5.5,7,3.75
467,1,28,1,4,1,3,7,3.5,7,5.75,6,2.666666667,2.5
705,4,33,5,2,0,2,5.5,2,5,5.75,5,4.333333333,3.75
759,8,61,5,2,0,1,4,2,7,2.25,5,7,1.75
765,4,32,7,4,0,4,6,2.5,7,5.5,5,3.333333333,4.25
794,3,34,5,3,1,3,4.75,4,7,3.75,6.5,7,3.5
409,4,54,7,3,1,3,6,4,3,5,6,5.666666667,4
220,7,26,4,3,0,3,7,5,7,6.5,6,7,1
201,5,33,7,4,0,4,4.25,3,6,5,3,5.666666667,4.5
539,6,33,4,2,0,3,7,3.5,5,5.5,6,5.333333333,6
650,6,22,4,3,0,2,4,4,5,2.25,3.5,5.666666667,5
599,3,28,6,2,0,2,7,5,5,6.25,6,6,5
701,7,36,7,4,1,4,7,4,5.5,3,6,7,5
620,6,60,4,3,1,1,7,5.5,6,6.25,6,5,5.5
540,1,23,3,3,0,2,6,4.5,5.5,5,6.5,6,5.25
917,7,46,6,6,0,3,7,5,7,6.25,4.5,6.333333333,4.75
96,2,44,1,5,0,2,4,2,5,3.25,5,6,5.75
863,4,49,7,5,1,3,7,4,7,7,4.5,3,6
427,3,60,4,4,1,3,5.5,4,5.5,4.75,6,4,4.75
412,1,47,5,2,0,2,7,5,4,5,6,4.333333333,4.25
754,8,28,5,3,0,1,7,4,7,7,6,6.666666667,5.5
293,1,35,6,3,0,3,7,5.5,6,5.25,5.5,4,5.5
315,3,26,5,3,0,1,7,1.5,7,5.25,6.5,6.333333333,6
443,4,47,7,2,1,2,5.5,2.5,6,5,5,7,4.75
446,5,49,8,5,1,3,4.75,3,5,5.5,5.5,5.333333333,5.5
760,3,31,7,2,0,3,5.5,4,4,4,5,6.333333333,6.5
43,7,29,6,2,0,2,7,5.5,7,2.5,6.5,7,5.25
190,4,46,8,4,1,4,4.75,4.5,5,2,5.5,5.666666667,5.5
212,4,28,3,2,0,2,6,5,6,2.5,6,5.333333333,6.25
458,1,38,5,3,0,2,7,1,7,3,7,6.666666667,3
706,7,55,8,4,0,3,5.25,3,6,3.5,4.5,5.333333333,4
317,4,28,5,3,0,2,5.75,4.5,6,5,4.5,4.666666667,5
770,4,35,6,4,0,2,7,6,6,6.75,7,4.333333333,5
6,4,35,6,5,0,2,7,2.5,5,6.25,5,6.333333333,5.5
133,3,33,8,5,1,4,6,3.5,5.5,5,5,6,3.25
225,3,21,7,2,0,2,4.75,1,7,5.5,4,7,1.75
230,3,21,7,2,0,2,4.5,1,7,4.25,4.5,7,4.75
636,3,30,3,3,0,2,6.25,4.5,6,6,6.5,3,4.75
204,4,30,6,4,1,2,5.75,5,5.5,5.75,5.5,4,3.5
209,3,48,6,2,1,2,6,5,6,2.75,4.5,6,4
564,4,45,7,5,1,4,6,6,4,4.75,6.5,6.333333333,5.25
611,5,53,4,2,1,3,7,4,7,5,6.5,6,6
628,3,34,7,4,1,4,7,4,5.5,6.5,6,6.333333333,3.75
231,7,50,6,4,1,3,5,3.5,5,3.25,4,6.666666667,4
302,4,54,5,3,1,3,7,3,5.5,6,6,6.666666667,5.5
380,3,66,5,6,1,4,7,5,6,6.75,7,6,5.5
475,7,30,9,5,0,1,5.75,5,5,4.75,4,6,5.5
889,8,22,4,4,0,1,7,6,7,6.75,7,5.333333333,5.5
911,7,57,4,4,0,1,5.5,5,5,5.25,3.5,7,3.25
269,4,28,5,4,0,1,5.5,1.5,4.5,3,6.5,7,3
366,5,34,5,4,1,4,5,1.5,4,4.75,4.5,5.666666667,3.5
804,4,21,7,3,0,4,5.75,5.5,6,6,5,3.333333333,5
700,4,31,5,2,1,2,6,2,6,5.25,7,5.666666667,3.75
112,6,59,6,4,1,3,7,3.5,5,7,6.5,7,3.5
135,3,27,3,4,0,2,5.25,6,7,5.75,6.5,5,6.5
158,4,24,6,4,1,2,7,5,6,7,7,4.666666667,5.75
237,2,29,4,5,0,1,6,5.5,4,6.5,6,3,5.5
238,2,40,7,6,1,3,5.75,1,7,5,5.5,5,4.75
301,4,32,7,4,1,3,6.25,5,7,5,7,4.333333333,5.25
407,4,43,6,3,1,3,4.5,3,5,4.5,4.5,5.333333333,4.5
417,2,39,7,2,0,1,5.75,1,7,2.75,3.5,7,4.25
418,3,39,7,2,0,1,5.25,1,6,2,3,6.666666667,4.25
435,6,60,7,4,1,4,4.5,3,5,4.5,6,4.333333333,5
461,4,36,8,5,1,4,6,5.5,6,5,5.5,5,6.25
646,6,58,3,2,1,4,5.75,4.5,5.5,1.75,6,3.666666667,6
691,6,34,6,4,1,3,6,5,5,6,5.5,4.666666667,4.5
715,4,25,4,3,0,1,5.5,4.5,4,5.5,6,4.333333333,5.5
719,3,25,5,3,0,3,6,3.5,6,6,5.5,4.666666667,3.25
813,6,31,8,4,1,4,6,3.5,7,6,3,3.666666667,5
151,4,31,8,4,1,4,4.75,2,4,4.25,2.5,7,5.75
213,7,38,8,4,0,1,5.5,4.5,5.5,5,5.5,6,2.75
244,6,27,6,2,0,4,6.25,2.5,6,5.75,5,4.666666667,3.75
285,3,41,7,4,1,4,5.5,5.5,5,5.25,5,6,3.5
314,8,40,7,4,1,3,3.5,2,4,1,1.5,7,5
471,4,52,6,3,0,2,7,2,5.5,6,5,7,2.75
544,4,53,5,3,1,4,6,3,5,5.25,5,5,1.25
627,4,58,4,4,0,1,7,4.5,6,3.25,5,6,5
634,4,46,3,2,1,4,6.5,5,7,5.5,6.5,6.666666667,4.75
