ID,PBillStatus,CompR,HTdevice,HTsource,DeviceType,@9to5,HomeW,HomeWYN,HomeS,HomeSYN,AwayW,AwayWNY,AwayS,AwaySNY,IncHomeS,IncHomeW,ReasonPos,ReasonNeg,RewardForm,IncAwayS,IncAwayW,IncWD,IncDish,IncAutoS,IncAutoW,IncEmer10S,IncEmer30S,IncEmer10W,IncEmer30W,EmerRForm,EnergyC1,EnergyC2,EnergyC3,EnergyC4,MC1,MC2,MC3,MC4,MC5,Frugal1,Frugal2,Frugal3,Trust1,Trust2,Trust3,Trust4,ComfNS1,ComfNS2,ComfNS3,ComfNW1,ComfNW2,ConvB1,ConvB2,ConvB3,ConvB4,ControlN1,ControlN2R,ControlN3,ControlN4,Atti1,Atti2,Atti3,Atti4,SubNorm1,SubNorm2,SubNorm3,PBC1,PBC2,PBC3R,PBC4,PBC5,INT1,INT2,INT3,INT4,SN1,SN2,SN3,SN4,HabitC1,HabitC2,HabitC3,HabitC4,HabitC5,HabitC6,HabitC7,HabitE1,HabitE2,HabitE3,State,City,Age,Gender,OwnRent,BillS,NBillS,BillW,NBillW,Utility,Sqft,SqftCate,HouseholdS,Political,Ethnic,Income,Educ,Job,Latitude,Longitude,EnergyC,MCG,MCBill,Frugal,Trust,ComfortS,ComfortW,Attitude,SubN,PBC,hot,cold,ACYN,HeatYN,valid1,valid2,valid
1,3,1,2,1,2,1,64,1,,0,62,1,,0,8,8,,2,5,8,8,7,,8,8,8,8,8,8,3,5,3,3,4,3,3,3,4,5,5,5,5,3,4,4,3,5,5,6,4,4,4,4,5,5,3,1,7,4,5,5,6,5,4,4,2,6,5,5,5,5,3,3,4,1,3,3,1,5,6,5,2,3,7,7,7,1,2,2,42,Rootstown,35,2,2,100.00,2,250.00,4,Ohio Edison,3000,4.00,4,4,1,7,4,2,41.04170227,-81.55930328000000,3.75,3.00,4.00,5.00,3.50,5.33,4.00,5.25,4.00,5.00,0,1,1,1,1,1,1
4,1,2,1,1,1,1,68,1,73,1,65,1,78,1,4,4,,,5,5,5,7,,5,5,4,5,4,5,1,4,5,5,5,5,4,5,4,6,6,6,6,3,4,4,3,5,5,4,3,3,4,2,5,4,6,4,5,5,6,6,6,6,5,4,5,6,6,5,6,5,6,6,5,2,5,5,5,5,7,7,5,5,7,2,6,1,1,1,41,Mt. Airy,42,2,2,175.00,3,225.00,4,Duke Power,1200,2.00,4,5,1,4,3,10,36.46170044,-80.61910248000000,4.75,4.50,5.50,6.00,3.50,4.67,3.00,6.00,4.50,6.00,1,0,1,1,1,1,1
5,2,2,2,2,1,1,70,1,72,1,63,1,68,1,8,8,,5,4,8,8,4,2,8,8,5,7,5,7,1,6,6,6,5,5,4,5,6,7,7,6,7,4,4,3,4,5,4,6,4,4,2,1,2,3,6,2,6,4,7,6,6,6,4,4,4,6,6,5,6,4,4,3,2,1,4,4,2,4,7,7,5,5,7,2,7,1,3,2,10,Frederick,39,2,2,55.00,1,60.00,1,Excel Energy,2100,4.00,3,1,1,7,2,10,40.16720581,-105.10189820000000,5.75,4.50,6.00,6.67,3.50,5.00,4.00,6.25,4.00,6.00,0,1,1,1,1,1,1
6,1,2,2,1,1,0,69,1,68,1,67,1,72,1,4,4,,,5,4,4,7,1,4,4,1,1,1,1,1,7,7,4,7,2,4,5,2,5,7,6,6,2,5,5,2,6,7,6,2,4,2,2,2,6,6,4,6,2,7,7,7,7,4,1,1,5,5,6,5,5,5,5,5,4,2,1,1,1,5,7,2,7,7,1,7,1,2,2,24,Lexington,35,1,1,110.00,2,150.00,3,Kentucky Utilities,1292,2.00,2,3,1,6,5,7,37.98869324,-84.48799896000000,6.25,3.00,5.00,6.33,3.50,6.33,3.00,7.00,2.50,5.00,0,0,1,1,1,1,1
7,1,2,2,2,2,1,70,1,,0,50,1,,0,3,3,,,4,3,3,5,6,4,4,1,2,1,2,1,7,6,6,6,5,5,6,4,7,6,7,6,4,4,3,5,6,5,3,5,6,5,2,3,6,6,6,7,6,7,7,7,7,6,5,5,6,5,5,5,4,6,6,5,3,5,6,4,5,6,2,1,2,5,1,7,1,1,1,29,watertown,36,2,1,200.00,3,175.00,3,Nstar,1500,3.00,4,5,1,5,5,2,42.37219238,-71.17870331000000,6.25,5.00,6.50,6.33,4.00,4.67,5.50,7.00,5.50,5.00,0,1,1,1,1,1,1
8,1,2,2,1,3,1,74,1,69,1,70,1,70,1,2,2,,,5,3,3,4,4,4,5,4,6,5,6,2,6,6,7,7,7,7,4,7,7,6,4,6,5,4,3,6,6,6,6,3,3,1,1,1,1,7,4,7,1,7,7,7,7,4,4,4,7,7,7,7,7,6,6,4,2,5,5,5,5,7,7,7,7,5,2,7,1,2,2,43,Oklahoma City,24,2,1,150.00,3,190.00,3,OG&E,1250,2.00,5,7,1,6,3,10,35.54229736,-97.61889648000000,6.50,7.00,5.50,5.33,4.50,6.00,3.00,7.00,4.00,7.00,1,0,1,1,1,1,1
9,2,1,11,1,2,1,,0,,0,,0,,0,1,1,7,,5,1,1,,1,1,1,1,1,1,1,1,7,7,7,7,3,5,7,7,7,7,7,7,5,5,5,5,2,6,2,3,2,2,1,1,1,6,5,7,5,7,7,7,7,5,4,5,7,7,7,7,7,7,7,7,4,5,4,4,4,7,7,7,7,8,8,4,1,1,1,15,Tampa,35,2,1,90.00,2,80.00,2,TECO,950,2.00,3,4,1,5,2,10,27.94439697,-82.41899872000000,7.00,4.00,7.00,7.00,5.00,3.33,2.50,7.00,4.50,7.00,1,0,1,1,1,1,1
10,3,3,2,2,1,1,72,1,70,1,72,1,70,1,8,6,,2,5,6,6,7,1,5,5,3,5,3,5,1,6,6,6,6,5,5,5,3,5,6,6,6,3,5,3,3,7,7,7,4,4,3,1,4,5,4,3,5,4,5,5,5,5,3,3,2,5,5,5,5,5,5,5,3,2,5,5,3,3,7,5,3,1,6,1,3,1,2,1,42,Springfield,42,2,2,200.00,3,100.00,2,Ohio Edison,2000,4.00,4,6,1,8,4,12,39.96710205,-83.76940155000000,6.00,5.00,5.00,6.00,3.00,7.00,4.00,5.00,3.00,5.00,0,1,1,1,1,1,1
11,3,1,1,1,1,0,68,1,80,1,,2,,2,4,5,,,5,4,5,6,,4,5,5,5,6,6,1,5,3,4,4,6,7,7,6,7,6,5,6,4,5,3,3,2,3,3,2,4,3,3,2,2,7,4,6,6,6,6,6,7,4,3,3,6,7,7,7,7,6,6,7,4,3,3,2,2,6,7,7,7,6,7,7,1,1,1,49,columbia,42,1,2,50.00,1,100.00,2,fairfield electric,1700,3.00,1,4,1,7,4,4,35.70790100,-79.81359863000000,4.00,6.50,7.00,5.67,3.00,2.67,3.00,6.25,3.50,7.00,1,0,1,1,1,1,1
12,3,3,2,2,1,1,68,1,73,1,65,1,,2,4,4,,,1,4,6,4,3,2,2,3,4,3,4,2,7,5,5,7,6,6,5,5,5,7,3,6,4,4,4,4,2,2,2,1,2,3,1,1,1,5,5,6,3,5,5,5,5,4,4,2,2,3,6,4,6,4,3,3,4,6,6,4,6,7,7,2,2,7,6,7,2,2,1,33,Kansas City,27,1,2,60.00,1,70.00,1,KCP&L,1600,3.00,2,3,1,6,4,7,39.09970093,-94.57859802000000,6.00,6.00,5.00,5.33,4.00,2.00,1.50,5.00,4.00,3.50,1,0,1,1,1,1,1
13,1,2,1,1,1,1,65,1,65,1,65,1,65,1,7,6,,,4,5,5,4,1,1,1,3,4,2,4,1,5,6,6,5,5,5,5,5,5,2,4,5,4,4,5,4,5,6,6,4,4,4,3,3,3,6,3,6,3,7,6,7,6,5,4,4,5,5,4,5,4,5,5,5,3,5,5,3,6,7,7,5,7,7,3,6,1,2,2,41,asheville,25,1,2,120.00,2,140.00,3,duke,500,1.00,3,6,1,3,2,1,35.62190247,-82.47090149000000,5.50,5.00,5.00,3.67,4.50,5.67,4.00,6.50,4.50,5.00,1,0,1,1,1,1,1
14,1,2,1,1,3,1,68,1,77,1,65,1,80,1,4,4,,,5,4,4,4,4,2,2,2,3,2,3,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,3,4,2,1,2,2,5,4,5,5,7,7,7,7,5,4,6,6,5,6,6,6,7,6,6,6,5,5,3,5,6,6,5,2,7,4,6,1,2,2,15,Jupiter,58,2,2,350.00,4,250.00,4,FPL,2200,4.00,2,1,1,9,6,8,26.94670105,-80.21700287000000,7.00,7.00,7.00,7.00,6.00,7.00,3.50,7.00,4.50,5.50,1,0,1,1,1,1,1
15,1,2,2,1,1,0,70,1,70,1,65,1,75,1,4,4,,,5,5,5,6,,7,7,7,7,7,7,1,4,4,4,4,4,5,5,6,7,5,6,6,4,4,3,4,6,6,6,6,6,3,3,6,3,6,6,6,5,5,5,5,5,2,2,2,6,5,6,5,6,4,5,2,1,4,5,1,2,6,6,5,5,7,3,3,1,2,2,33,Saint Loui,29,2,1,90.00,2,130.00,3,Ameren UE,1200,2.00,3,6,1,5,5,12,38.62730408,-90.19789886000000,4.00,4.50,6.00,5.67,3.50,6.00,6.00,5.00,2.00,5.00,1,0,1,1,1,1,1
16,1,1,6,1,1,0,62,1,,0,60,1,,0,99,1,7,,5,99,4,,1,1,1,1,1,1,1,2,7,6,2,7,7,7,7,7,7,7,7,6,4,4,1,4,1,1,1,1,1,1,1,1,1,5,7,7,4,7,7,7,6,6,4,4,3,5,3,5,5,6,6,6,6,2,2,3,2,6,7,7,7,7,7,7,1,2,1,20,Urbana,22,2,1,50.00,1,200.00,4,Ameren,850,1.00,2,1,1,1,4,1,40.10949707,-88.21230316000000,5.50,7.00,7.00,6.67,2.50,1.00,1.00,6.75,5.00,5.00,0,1,0,1,1,1,1
17,3,2,2,1,1,1,75,1,70,1,75,1,75,1,6,6,,,5,6,6,6,6,6,6,7,7,7,6,2,4,4,4,5,3,5,4,6,6,5,5,5,4,4,3,5,6,6,3,4,3,3,2,2,2,5,4,6,4,6,6,6,6,6,4,4,6,6,6,6,6,6,6,6,4,4,4,2,5,7,7,1,7,4,2,5,2,2,1,15,Tampa,51,2,1,180.00,3,170.00,3,Tampa Electric,919,1.00,4,2,5,5,3,8,27.94749451,-82.45839691000000,4.25,4.00,5.00,5.00,4.00,5.00,3.50,6.00,5.00,6.00,1,0,1,1,1,0,0
18,3,2,2,2,1,0,73,1,73,1,73,1,73,1,6,6,,,5,7,6,4,4,3,3,4,5,4,5,2,5,4,4,5,7,6,4,4,5,5,5,4,5,6,5,5,6,7,5,3,2,4,3,6,3,6,5,5,3,5,5,5,5,1,1,1,6,6,6,6,5,4,3,3,2,3,3,3,4,6,6,2,6,2,1,6,2,2,1,52,Dallas,31,1,2,200.00,3,50.00,1,StarTex,1400,3.00,3,6,1,8,4,7,32.89160156,-96.56839752000000,4.50,6.50,4.50,4.67,5.00,6.00,2.50,5.00,1.00,6.00,1,0,1,1,1,1,1
19,3,1,1,1,1,0,70,1,73,1,64,1,80,1,2,2,,,5,1,1,5,1,1,1,4,4,4,4,1,6,5,5,6,7,7,3,2,5,6,7,3,5,6,3,5,3,6,3,2,3,5,2,6,2,6,3,6,3,6,2,7,7,5,5,2,6,3,6,3,6,4,5,6,6,2,2,1,1,7,7,2,4,6,6,6,2,1,1,52,Austin,35,1,2,125.00,2,65.00,1,Austin Energy,1450,3.00,2,1,1,9,4,7,39.73919678,-104.98470310000000,5.50,7.00,4.00,5.33,4.00,4.00,2.50,5.50,5.00,3.00,1,0,1,1,1,1,1
20,1,2,2,2,1,1,69,1,75,1,67,1,77,1,6,7,,,3,7,7,6,4,4,4,1,1,1,1,1,6,4,4,6,4,4,7,7,6,6,6,7,5,7,4,5,6,5,5,2,2,2,1,1,1,6,3,6,4,5,6,7,6,2,1,4,7,7,7,7,7,5,7,7,1,4,6,2,5,7,7,6,4,4,3,6,1,2,1,59,Madison,53,2,2,180.00,3,190.00,3,MG&E,1500,3.00,3,5,1,4,2,10,43.07310486,-89.40119934000000,5.00,4.00,6.50,6.33,4.50,5.33,2.00,6.00,1.50,7.00,0,1,1,1,1,1,1
21,1,2,2,1,3,1,66,1,78,1,66,1,78,1,6,6,,,5,7,7,6,6,6,6,6,7,6,7,1,6,6,4,6,5,5,5,5,6,7,6,7,5,5,5,5,5,5,4,2,3,3,1,1,1,5,5,6,4,7,6,7,7,6,4,5,6,5,5,4,5,5,5,5,2,5,5,2,5,7,6,3,6,7,7,7,1,2,2,42,Kent,54,2,1,200.00,3,350.00,4,Ohio Edison,2000,4.00,3,3,1,3,5,1,41.16009521,-81.16750336000000,5.50,5.00,5.50,6.67,5.00,4.67,2.50,6.75,5.00,4.50,0,1,1,1,1,1,1
22,3,2,1,1,1,1,73,1,76,1,70,1,78,1,1,3,2,,5,8,1,4,4,1,1,1,1,1,1,1,5,5,3,5,5,5,6,6,6,6,6,6,4,6,6,5,6,6,5,7,6,2,1,1,1,7,4,6,6,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,1,7,7,1,7,6,7,6,7,5,7,7,1,1,1,52,DFW,43,2,2,200.00,3,200.00,4,Cirro,1908,4.00,3,7,1,7,5,12,32.85240173,-97.28800201000000,4.50,5.00,6.00,6.00,5.50,5.67,6.50,7.00,6.00,7.00,1,0,1,1,1,1,1
23,3,2,2,1,1,0,,0,68,1,,0,68,1,5,3,,,5,6,3,,3,4,3,3,3,3,3,1,6,5,5,6,1,2,7,3,7,6,6,5,2,2,1,3,3,2,2,1,3,1,1,1,1,5,2,6,4,7,7,7,7,2,5,2,6,6,7,5,7,6,6,4,5,1,2,1,2,6,6,7,2,6,7,3,1,3,3,52,College Station,33,2,1,200.00,3,60.00,1,College Station Utilities,894,1.00,1,2,1,3,5,1,30.65829468,-96.32379913000000,5.50,1.50,7.00,5.67,2.00,2.33,2.00,7.00,3.50,5.50,1,0,1,1,1,1,1
24,1,2,4,1,1,0,68,1,75,1,62,1,77,1,4,4,,,5,4,4,6,6,4,4,4,4,4,4,1,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,4,5,4,3,3,3,3,3,3,5,5,4,3,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,4,6,6,4,6,1,2,1,15,WPB,49,1,1,275.00,4,250.00,4,FP&L,1100,2.00,1,6,1,6,4,12,26.05839539,-80.32520294000000,5.00,5.00,5.00,5.00,3.00,4.33,3.00,5.25,5.00,5.00,1,0,1,1,1,1,1
25,3,2,2,1,1,0,70,1,74,1,68,1,78,1,7,7,,,4,8,8,6,6,8,8,7,8,7,8,1,6,6,6,5,4,3,6,4,5,6,6,6,3,4,3,3,5,7,4,3,3,2,2,4,2,6,6,6,5,7,7,7,7,5,5,4,5,6,6,6,4,5,5,2,1,3,3,1,3,7,7,7,7,4,2,7,1,1,1,55,Virginia Beach,51,2,2,150.00,3,200.00,4,Dominion Virginia Power,2000,4.00,2,4,1,7,4,4,36.83720398,-76.14640045000000,5.75,3.50,5.50,6.00,3.00,5.33,3.00,7.00,5.00,6.00,0,0,1,1,1,1,1
26,1,2,4,1,2,1,65,1,,0,60,1,,0,99,2,,,4,99,1,,,2,2,2,3,2,3,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,1,1,1,1,1,2,1,1,1,6,5,7,5,7,7,7,7,7,6,4,5,5,5,5,5,5,5,5,5,4,4,4,4,7,5,5,7,7,8,7,1,1,3,29,Belchertown,29,2,1,60.00,1,150.00,3,National Grid,800,1.00,3,1,1,4,5,1,42.18609619,-72.52549744000000,7.00,7.00,7.00,7.00,6.00,1.00,1.00,7.00,6.50,5.00,0,1,0,1,1,1,1
27,4,1,4,2,2,0,75,1,60,1,,2,,2,3,3,,,4,3,3,,2,4,4,4,2,4,2,2,5,4,4,5,7,7,6,4,6,7,7,7,2,3,2,2,4,5,4,6,6,3,2,6,6,6,4,6,6,5,6,6,6,3,5,4,6,6,5,6,6,5,4,4,4,4,4,5,5,6,5,1,1,2,2,5,1,3,3,40,New York,30,2,1,30.00,1,25.00,1,Con Edison,500,1.00,2,1,3,10,5,9,40.71429443,-74.00599670000000,4.50,7.00,6.00,7.00,2.00,4.33,6.00,5.75,4.00,6.00,0,1,1,1,0,0,0
28,3,2,4,1,1,1,78,1,75,1,78,1,75,1,3,3,,,5,3,3,7,,3,3,3,3,3,3,2,5,4,4,5,2,2,7,7,7,6,5,5,6,6,6,6,7,7,7,6,6,2,2,2,4,5,3,5,4,7,7,7,7,7,4,3,6,5,3,5,5,6,6,6,3,5,5,3,5,7,2,2,1,4,4,3,1,2,1,15,nerw port richey,33,2,1,120.00,2,180.00,3,Duke energy,2000,4.00,4,8,1,4,2,10,28.00869751,-82.74539948000000,4.50,2.00,7.00,5.33,6.00,7.00,6.00,7.00,5.50,5.00,1,0,1,1,1,1,1
30,3,3,3,3,3,1,68,1,,0,68,1,,0,2,3,,,5,99,3,2,2,1,1,1,1,1,1,1,6,6,5,5,5,5,3,3,4,7,6,7,4,5,4,4,5,6,3,3,3,2,1,2,1,7,6,7,6,6,6,7,6,6,5,3,6,6,6,6,6,5,6,4,1,5,5,1,5,7,6,2,7,7,8,5,1,1,1,29,Worcester,44,1,2,100.00,2,100.00,2,National Grid,2600,4.00,4,5,3,8,4,3,42.28729248,-71.35240173000000,5.50,5.00,3.50,6.67,4.00,4.67,3.00,6.25,5.50,6.00,0,1,1,1,1,1,1
31,3,2,2,2,1,1,72,1,74,1,,2,75,1,6,4,,,5,7,5,6,6,5,4,4,5,4,4,2,4,4,5,5,5,7,4,7,7,7,7,7,6,6,5,6,5,7,6,3,5,1,1,1,1,5,3,5,3,6,6,6,6,4,4,4,7,7,6,7,7,5,5,5,6,4,4,4,4,7,1,1,7,7,5,7,1,1,2,2,SHERWOOD,39,2,2,280.00,4,140.00,3,First Electric,2350,4.00,4,7,1,7,4,10,34.90240479,-92.23020172000000,4.50,6.00,5.50,7.00,5.50,6.00,4.00,6.00,4.00,7.00,1,0,1,1,1,1,1
32,1,3,7,1,1,0,75,1,70,1,70,1,75,1,4,4,,,5,5,5,4,4,4,4,6,7,6,7,1,7,7,7,7,6,6,6,6,6,6,6,6,4,5,5,4,7,7,7,2,2,5,5,2,3,4,6,4,4,7,7,7,7,4,4,4,5,5,3,5,3,5,5,5,5,5,5,5,5,6,6,6,6,7,6,6,1,1,1,28,Mt Airy,37,1,2,800.00,4,700.00,4,BGE,3700,4.00,4,7,1,10,5,3,38.89509583,-77.03639984000000,7.00,6.00,6.00,6.00,4.50,7.00,2.00,7.00,4.00,5.00,0,0,1,1,1,1,1
33,3,2,2,2,1,1,72,1,75,1,72,1,75,1,4,4,,,2,3,2,7,,4,4,4,4,4,4,1,4,5,5,4,6,6,4,4,5,6,5,5,5,5,4,5,5,5,3,5,6,5,2,5,5,6,4,6,5,4,4,4,5,2,4,4,5,5,4,5,5,4,4,2,2,3,3,2,2,7,5,2,1,2,3,2,1,2,2,51,Antioch,53,2,2,200.00,3,200.00,4,NES,1800,3.00,3,4,2,6,2,10,36.03709412,-86.63719940000000,4.50,6.00,4.50,5.33,4.50,4.33,5.50,4.25,3.00,5.00,1,0,1,1,1,1,1
34,1,3,4,1,2,1,50,1,,0,50,1,,0,99,2,,,5,99,4,5,5,5,5,99,99,4,5,1,6,7,7,6,6,7,7,7,7,7,7,7,6,7,6,6,5,7,6,3,3,3,1,1,1,5,4,6,3,7,6,7,7,7,7,7,6,7,6,7,6,7,7,3,5,5,5,6,6,7,7,7,7,7,8,7,1,3,3,19,Moscow,22,2,1,30.00,1,90.00,2,Avista,1050,2.00,2,8,1,1,3,1,46.71719360,-116.91790010000000,6.50,6.50,7.00,7.00,6.00,6.00,3.00,6.75,7.00,7.00,0,1,0,1,1,1,1
35,1,2,6,4,2,1,,0,,0,,0,,0,4,3,,,4,4,3,,4,4,3,4,5,3,4,2,5,4,4,5,6,6,5,5,5,6,5,6,3,2,2,3,7,7,7,2,2,4,2,2,2,6,5,6,3,4,4,5,5,4,4,4,3,3,4,3,4,4,4,5,3,4,3,2,6,7,7,7,7,7,1,7,1,2,1,40,NYC,40,1,2,400.00,4,200.00,4,CON ED,1200,2.00,4,4,3,10,4,12,41.31579590,-73.13539886000000,4.50,6.00,5.00,5.67,2.50,7.00,2.00,4.50,4.00,3.00,0,1,1,1,1,1,1
36,3,1,5,2,2,0,68,1,,0,55,1,,0,99,3,,,5,99,1,7,,3,3,1,99,1,2,1,6,6,6,6,6,6,5,5,5,7,6,6,6,6,5,6,3,2,3,2,2,2,2,2,2,5,3,6,3,7,7,7,7,5,4,4,6,6,6,6,6,5,5,5,4,5,5,1,5,7,7,6,6,7,8,7,1,2,1,30,Grand Rapids,39,2,2,40.00,1,120.00,2,Consumers Energy,1400,3.00,2,1,1,5,3,7,42.74229431,-86.06610107000000,6.00,6.00,5.00,6.33,5.50,2.67,2.00,7.00,4.50,6.00,0,1,0,1,1,1,1
37,3,2,3,2,2,0,66,1,76,1,66,1,76,1,5,6,,,5,1,4,1,1,5,4,1,1,1,1,1,5,6,5,5,6,6,5,6,6,6,3,5,6,5,5,6,5,6,6,2,5,2,2,3,5,6,6,5,5,6,6,7,7,6,3,2,7,6,7,7,6,6,6,7,2,5,5,1,2,6,1,3,7,7,3,7,1,2,1,38,Englewood,49,1,1,85.00,2,65.00,1,PSEG,1200,2.00,2,2,1,9,4,9,40.88949585,-73.97180176000000,5.25,6.00,5.50,4.67,5.50,5.67,3.50,6.50,4.50,6.50,0,0,1,1,1,1,1
38,3,1,4,1,4,0,,0,,0,,0,,0,1,1,6,,5,1,1,,,3,3,6,1,7,1,2,6,6,7,7,6,7,4,3,7,7,7,6,6,6,6,6,2,7,4,5,3,1,1,1,1,6,3,6,4,7,7,7,7,6,5,2,7,6,6,6,6,6,3,4,4,3,6,5,2,7,7,3,3,8,8,8,1,3,2,5,San Diego,25,2,1,10.00,1,10.00,1,SDG&E,600,1.00,1,1,1,4,5,2,32.73680115,-117.12770080000000,6.50,6.50,5.50,6.67,6.00,4.33,4.00,7.00,5.50,6.00,0,0,1,1,0,0,0
39,3,3,3,2,3,0,62,1,62,1,62,1,62,1,4,2,,,4,5,8,6,6,8,8,1,1,1,1,3,3,3,2,3,5,5,5,5,5,6,5,6,2,2,1,2,5,5,5,7,6,3,1,6,2,6,4,5,6,6,4,5,4,3,2,1,5,5,7,6,5,4,3,5,1,2,2,2,2,6,7,4,7,6,6,6,1,2,1,11,Manchester,32,1,1,180.00,3,140.00,3,CL&P,120,1.00,5,8,1,3,2,12,41.77760315,-72.62139893000000,2.75,5.00,5.00,5.67,1.50,5.00,6.50,4.75,2.50,5.50,0,1,1,1,1,1,1
40,3,2,2,2,1,0,72,1,70,1,70,1,75,1,3,5,,,5,4,4,6,4,4,4,6,5,6,5,1,6,6,6,6,6,5,4,4,5,6,7,6,3,4,4,4,6,6,6,6,6,3,2,2,5,7,7,6,4,6,6,7,7,2,2,2,6,6,6,6,6,5,5,6,4,5,5,5,5,6,5,4,4,3,2,5,1,2,1,33,O'Fallon,36,2,2,250.00,4,250.00,4,Ameren,2100,4.00,5,3,1,7,5,2,38.88169861,-92.40200043000000,6.00,5.50,4.50,6.33,4.00,6.00,6.00,6.50,2.00,6.00,1,0,1,1,0,0,0
42,3,2,5,1,2,1,,0,79,1,,0,,2,7,1,1,,5,1,1,,,7,1,2,4,1,1,1,7,6,6,5,4,5,6,5,7,6,6,6,5,5,5,4,6,6,6,2,2,2,2,3,2,6,3,6,5,7,7,7,7,6,4,3,6,6,6,6,6,6,5,7,4,5,3,3,6,7,7,6,7,8,5,6,1,2,1,5,colton,25,2,1,70.00,1,50.00,1,colton power,20,1.00,3,8,5,3,2,10,34.01440430,-117.27719880000000,6.00,4.50,6.50,6.00,4.50,6.00,2.00,7.00,5.00,6.00,0,0,1,1,1,1,1
43,3,2,2,1,1,1,65,1,72,1,65,1,72,1,7,4,,,4,8,8,,1,7,5,1,5,1,4,1,3,2,2,3,7,7,6,6,7,6,6,6,6,6,5,6,7,7,7,3,3,2,1,1,1,7,6,6,6,7,7,7,7,6,5,4,7,7,6,7,7,6,6,4,4,6,6,1,1,7,7,7,7,7,3,4,1,1,1,15,venice,29,2,1,120.00,2,60.00,1,national grid,1020,2.00,3,1,1,6,2,10,27.13409424,-82.25009918000000,2.50,7.00,6.50,6.00,5.50,7.00,3.00,7.00,5.50,7.00,1,0,1,1,1,1,1
44,2,1,2,1,1,0,65,1,78,1,70,1,75,1,5,5,,,4,6,6,,2,4,4,5,6,5,6,2,2,5,6,5,7,7,5,6,6,6,5,6,6,6,5,6,5,6,5,2,3,3,2,2,2,6,5,5,3,6,7,6,6,4,3,3,7,6,6,6,6,5,6,6,7,5,6,3,5,6,6,3,5,6,6,6,2,1,1,55,Richmond,22,1,1,100.00,2,75.00,2,Dominion Resources,900,1.00,2,6,1,6,4,12,37.61410522,-77.44200134000000,4.50,7.00,5.50,5.67,5.50,5.33,2.50,6.25,3.50,6.00,0,0,1,1,1,1,1
45,1,2,2,2,1,1,68,1,72,1,68,1,75,1,6,7,,,5,8,8,4,2,2,2,2,3,2,3,2,7,6,6,6,2,3,4,3,5,6,6,6,5,6,5,6,4,7,5,2,4,3,1,5,3,6,3,5,5,7,6,7,6,6,4,5,6,5,5,5,5,6,3,3,3,3,3,4,4,6,5,2,6,7,2,5,1,2,2,20,Chicago,32,1,1,80.00,1,40.00,1,ComEd,800,1.00,2,1,1,1,6,1,37.44290161,-122.15139770000000,6.25,2.50,4.50,6.00,5.50,5.33,3.00,6.50,5.00,5.00,0,1,1,1,1,1,1
47,1,2,2,2,1,1,68,1,64,1,68,1,64,1,3,4,,,5,4,4,3,3,8,4,3,3,3,3,2,6,6,6,6,5,6,6,6,7,7,6,6,6,6,6,5,5,2,2,5,5,2,1,1,1,6,6,6,2,7,7,7,7,5,2,2,7,7,5,7,6,6,6,4,3,7,6,2,5,7,7,5,6,6,1,3,1,2,1,49,Greenwood,29,2,2,100.00,2,160.00,3,Commission of Public Works,1864,3.00,3,3,1,6,4,8,33.47099304,-81.97480011000000,6.00,5.50,6.50,6.33,5.50,3.00,5.00,7.00,3.50,7.00,1,0,1,1,1,1,1
48,1,2,6,1,2,1,74,1,65,1,,0,,0,4,6,,,5,7,6,,,4,4,5,3,5,3,1,6,5,5,6,5,3,3,4,5,5,3,6,5,5,7,6,6,2,5,2,3,5,6,3,4,5,3,7,6,5,7,7,7,7,6,3,6,5,3,5,4,7,7,4,6,6,3,7,3,7,7,5,6,5,5,3,1,2,1,5,Canoga Park,18,1,1,45.00,1,30.00,1,gas and power,500,1.00,2,1,6,5,2,6,34.02110291,-118.39649960000000,5.50,4.00,4.00,4.67,6.50,4.33,2.50,6.50,6.50,5.00,0,0,1,1,0,0,0
49,1,2,4,1,3,1,73,1,60,1,70,1,60,1,4,4,,,4,3,3,,,3,4,4,4,4,3,2,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,4,4,4,4,4,2,2,2,2,4,4,4,4,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,4,4,4,4,5,5,5,5,5,5,5,2,2,2,41,Oxford,24,2,1,220.00,4,220.00,4,Duke Energy,1400,3.00,4,8,2,4,2,1,36.34820557,-78.64630127000000,7.00,7.00,7.00,7.00,3.00,4.00,4.00,7.00,7.00,7.00,1,0,1,1,1,0,0
50,1,2,2,2,4,1,70,1,,0,58,1,,0,1,1,4,,4,5,5,,2,2,2,5,5,5,5,1,7,7,7,7,1,5,7,6,7,7,7,7,4,4,4,4,4,2,4,3,3,1,1,1,1,7,6,7,5,7,7,7,7,7,5,3,7,7,7,7,7,7,7,7,7,2,2,2,3,6,6,4,7,7,8,6,1,3,1,30,,27,2,1,131.00,3,200.00,4,Consumers,700,1.00,3,4,6,1,3,1,43.70530701,-84.23770142000000,7.00,3.00,7.00,7.00,4.00,3.33,3.00,7.00,6.00,7.00,0,1,1,1,1,1,1
