ID,PBillStatus,CompR,HTdevice,HTsource,DeviceType,@9to5,HomeW,HomeWYN,HomeS,HomeSYN,AwayW,AwayWNY,AwayS,AwaySNY,IncHomeS,IncHomeW,ReasonPos,ReasonNeg,RewardForm,IncAwayS,IncAwayW,IncWD,IncDish,IncAutoS,IncAutoW,IncEmer10S,IncEmer30S,IncEmer10W,IncEmer30W,EmerRForm,EnergyC1,EnergyC2,EnergyC3,EnergyC4,MC1,MC2,MC3,MC4,MC5,Frugal1,Frugal2,Frugal3,Trust1,Trust2,Trust3,Trust4,ComfNS1,ComfNS2,ComfNS3,ComfNW1,ComfNW2,ConvB1,ConvB2,ConvB3,ConvB4,ControlN1,ControlN2R,ControlN3,ControlN4,Atti1,Atti2,Atti3,Atti4,SubNorm1,SubNorm2,SubNorm3,PBC1,PBC2,PBC3R,PBC4,PBC5,INT1,INT2,INT3,INT4,SN1,SN2,SN3,SN4,HabitC1,HabitC2,HabitC3,HabitC4,HabitC5,HabitC6,HabitC7,HabitE1,HabitE2,HabitE3,State,City,Age,Gender,OwnRent,BillS,NBillS,BillW,NBillW,Utility,Sqft,SqftCate,HouseholdS,Political,Ethnic,Income,Educ,Job,Latitude,Longitude,EnergyC,MCG,MCBill,Frugal,Trust,ComfortS,ComfortW,Attitude,SubN,PBC,hot,cold,ACYN,HeatYN,valid1,valid2,valid
852,2,2,6,3,2,1,70,1,75,1,,2,,2,5,5,,,4,4,4,6,1,8,8,4,4,4,4,2,6,6,6,6,6,6,6,5,6,6,6,6,4,5,5,4,6,6,6,5,4,1,1,1,1,6,4,6,6,7,7,7,7,5,5,5,6,6,6,6,6,6,6,6,1,5,5,4,5,7,7,7,7,4,1,4,2,2,2,15,Boca Raton,25,2,1,100.00,2,100.00,2,FPL,1200,2.00,2,1,1,5,4,5,38.24330139,-122.46020510000000,6.00,6.00,6.00,6.00,4.50,6.00,4.50,7.00,5.00,6.00,1,0,1,1,1,1,1
853,1,3,2,1,1,1,72,1,68,1,68,1,68,1,1,1,4,,7,1,1,1,7,1,1,1,8,1,1,3,5,6,7,7,3,3,5,7,3,6,6,6,4,4,4,4,7,7,5,5,3,3,2,3,4,6,6,4,6,5,7,7,7,3,3,5,6,5,7,5,6,7,7,7,5,5,5,4,5,6,3,3,3,4,1,1,2,2,2,3,THORSBY,37,2,2,200.00,3,280.00,4,ALABAMA POWER,1200,2.00,5,2,1,4,2,6,33.58619690,-86.28610229000000,6.25,3.00,4.00,6.00,4.00,6.33,4.00,6.50,3.00,5.00,1,0,1,1,1,1,1
854,1,2,11,2,2,1,,0,,0,,2,,2,6,6,,,4,7,7,,,4,4,3,4,3,4,2,6,6,6,6,5,6,6,6,6,7,6,7,6,6,6,6,6,4,3,5,4,3,2,2,2,6,3,6,3,6,6,6,6,2,2,6,6,6,6,6,6,6,6,7,6,6,6,4,6,6,6,6,5,8,8,8,2,2,2,6,Sierra Vista,21,2,1,70.00,1,70.00,1,Sulphur Springs Valley Electric,1750,3.00,3,8,2,3,2,10,32.22169495,-110.92649840000000,6.00,5.50,6.00,6.67,6.00,4.33,4.50,6.00,2.00,6.00,1,0,1,1,1,1,1
855,1,1,2,1,1,0,65,1,65,1,60,1,70,1,7,7,,,5,7,7,,,5,5,7,7,7,7,1,6,4,5,5,3,5,5,5,5,5,1,5,6,5,7,7,7,7,7,1,1,2,1,1,1,5,7,5,3,7,7,7,7,1,1,1,7,2,7,3,7,3,2,2,2,2,2,2,2,7,4,7,7,7,1,4,1,2,2,33,Rolla,31,1,1,45.00,1,55.00,1,RMU,600,1.00,1,2,1,4,2,9,37.92649841,-91.77909851000000,5.00,4.00,5.00,3.67,7.00,7.00,1.00,7.00,1.00,2.50,1,0,1,1,1,1,1
856,1,1,2,3,1,1,80,1,70,1,,2,,2,3,1,9,,5,2,2,,5,2,2,2,4,2,2,1,3,4,2,6,4,5,5,4,5,7,6,4,4,6,2,4,5,2,4,4,5,2,2,1,1,6,4,7,2,6,6,6,6,6,3,2,7,7,5,7,6,6,5,4,1,2,2,1,2,5,2,1,3,1,2,4,2,2,2,29,Boston,18,1,1,60.00,1,85.00,2,NSTAR,300,1.00,3,3,1,1,2,1,42.28570557,-71.82920074000000,3.75,4.50,5.00,5.67,3.00,3.67,4.50,6.00,4.50,7.00,0,1,1,1,1,1,1
857,3,1,2,2,1,1,73,1,76,1,73,1,76,1,2,2,,,5,2,2,2,2,2,2,3,4,3,4,1,1,1,1,1,7,7,6,7,7,6,1,6,4,4,4,4,7,7,7,7,4,1,1,1,1,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,6,4,4,1,6,4,1,4,7,7,7,7,1,1,7,1,1,1,21,Fishers,45,1,2,135.00,3,135.00,3,Duke,3000,4.00,5,7,1,8,2,9,,,1.00,7.00,6.50,4.33,4.00,7.00,5.50,7.00,7.00,7.00,0,1,1,1,1,1,1
858,1,2,4,1,1,0,70,1,,0,70,1,,0,4,4,,,5,5,5,6,6,4,4,6,6,6,6,1,7,7,7,7,6,6,6,7,7,7,7,7,6,6,5,6,4,4,3,2,3,2,1,2,2,6,6,7,4,7,7,7,7,6,6,4,6,6,6,6,6,6,6,6,4,4,4,4,4,7,6,6,6,6,7,6,2,2,1,40,Albany,24,1,1,60.00,1,200.00,4,National Grid,1500,3.00,3,1,1,4,4,6,42.61889648,-73.70649719000000,7.00,6.00,6.50,7.00,5.50,3.67,2.50,7.00,6.00,6.00,0,1,1,1,1,1,1
859,1,2,2,1,1,1,75,1,70,1,69,1,75,1,4,4,,,5,8,5,2,2,4,3,6,7,4,5,1,7,6,6,6,5,5,6,6,6,7,7,7,3,3,3,5,7,6,5,2,1,2,1,1,5,6,6,6,2,7,7,7,7,7,6,3,6,7,6,7,6,6,6,6,4,3,3,1,2,7,5,2,5,5,3,5,1,2,1,24,Bowling Green,21,2,1,160.00,3,130.00,3,Kentucky Utilities,1300,2.00,4,2,7,4,3,1,37.09410095,-86.42859650000000,6.25,5.00,6.00,7.00,4.00,6.00,1.50,7.00,6.50,7.00,0,0,1,1,1,1,1
860,1,2,2,1,1,1,72,1,72,1,72,1,72,1,3,5,,,5,7,7,,4,5,6,2,5,4,6,1,5,6,5,6,3,5,6,6,7,6,6,7,5,6,6,5,5,6,3,6,6,3,2,1,2,6,5,6,3,6,6,5,7,3,5,3,6,6,6,6,6,6,6,5,5,3,3,2,3,7,7,2,7,3,1,2,1,2,2,33,Columbia,27,2,1,170.00,3,200.00,4,City of Columbia Water and Light,800,1.00,2,1,1,5,4,6,38.88169861,-92.40200043000000,5.50,4.00,6.50,6.33,5.50,4.67,6.00,6.00,4.00,6.00,1,0,1,1,1,1,1
861,1,2,2,1,1,1,72,1,68,1,65,1,,2,5,7,,,4,4,4,6,6,5,5,4,7,4,7,1,6,5,6,6,3,3,5,3,4,6,6,6,6,5,4,6,5,3,2,6,6,2,1,2,1,6,2,6,4,7,7,7,6,4,2,1,7,5,6,5,5,5,5,6,4,6,5,5,5,6,6,3,7,2,1,6,2,1,2,49,RockHill,38,2,1,175.00,3,320.00,4,City of Rock Hill,1300,2.00,5,6,2,5,5,10,34.96600342,-81.08070374000000,5.75,3.00,4.50,6.00,5.00,3.33,6.00,6.75,3.00,5.00,1,0,1,1,1,1,1
862,3,2,2,2,2,0,64,1,70,1,56,1,76,1,4,4,,,5,4,4,4,,3,4,4,6,6,4,1,6,5,5,7,5,5,6,5,7,7,7,6,5,6,3,4,5,2,5,1,2,2,1,1,2,6,2,6,2,7,7,7,7,3,4,2,7,7,6,7,6,6,6,7,2,3,3,3,5,5,7,2,3,7,2,6,1,2,1,46,North Versailles,46,2,2,110.00,2,90.00,2,Duquesne Light,1000,2.00,3,3,1,5,3,8,40.38169861,-79.78929901000000,5.75,5.00,6.50,6.67,3.50,4.00,1.50,7.00,3.50,7.00,0,1,1,1,1,0,0
863,3,2,2,2,1,0,68,1,72,1,58,1,72,1,4,4,,,5,3,5,5,2,3,3,2,2,2,2,1,7,7,7,7,7,7,2,6,7,7,7,7,4,4,5,4,3,4,2,1,1,1,1,1,1,6,3,5,2,7,7,7,7,4,4,1,7,7,7,7,7,7,7,7,1,4,4,3,4,7,7,1,7,7,3,7,1,1,1,59,Madison,49,2,2,110.00,2,130.00,3,Madison Gas & Electric,1800,3.00,2,1,1,7,5,2,43.13310242,-89.34909821000000,7.00,7.00,4.50,7.00,4.50,3.00,1.00,7.00,4.00,7.00,0,1,1,1,1,1,1
864,3,1,8,1,2,1,,0,70,1,,0,70,1,3,2,,,5,5,4,4,,8,8,4,4,4,4,1,6,7,6,6,2,5,6,6,7,7,7,7,1,5,1,1,7,7,7,2,2,2,1,1,1,4,4,6,4,7,7,7,7,5,5,5,7,7,6,7,7,6,3,3,1,6,5,1,5,7,7,5,7,7,1,3,1,2,1,15,Dunedin,33,1,1,90.00,2,60.00,1,Duke,950,2.00,2,3,1,5,2,6,28.02879333,-82.76889801000000,6.25,3.50,6.50,7.00,1.00,7.00,2.00,7.00,5.00,7.00,1,0,1,1,1,1,1
865,3,2,2,2,4,1,67,1,,0,65,1,,0,4,3,,,5,3,8,4,,4,5,1,4,1,4,2,4,4,4,4,5,5,5,5,5,6,6,6,4,4,4,3,3,4,5,5,5,3,3,3,3,5,3,5,2,6,6,3,2,4,4,2,5,4,5,3,3,3,3,5,5,4,4,4,4,6,2,3,3,6,8,4,2,2,2,40,Fredonia,22,2,1,85.00,2,98.00,2,National Grid,500,1.00,4,4,1,3,4,1,42.40800476,-79.32409668000000,4.00,5.00,5.00,6.00,3.50,4.00,5.00,4.25,4.00,3.50,0,1,1,1,1,1,1
867,1,2,8,1,2,1,68,1,62,1,65,1,62,1,4,4,,,5,4,4,7,,3,3,3,3,3,3,1,6,6,6,6,3,3,4,5,5,6,6,6,4,4,4,4,6,6,6,3,3,5,3,5,4,5,3,6,5,6,6,6,6,5,5,3,6,6,3,6,5,6,5,5,2,5,4,4,4,4,6,2,3,7,3,4,1,2,1,42,Tiffinn,21,2,1,60.00,1,120.00,2,AEP,1000,2.00,2,8,1,3,2,1,41.12449646,-83.12120056000000,6.00,3.00,4.50,6.00,4.00,6.00,3.00,6.00,5.00,6.00,0,1,1,1,1,1,1
